time,microjax,vbmicrolensing,relative_difference
-4.114114114114114429e+00,2.781353544758088159e+00,2.781419570038945910e+00,2.373797954431828438e-05
-4.099099099099099419e+00,2.781163841333607945e+00,2.781232837560799531e+00,2.480778533166531742e-05
-4.084084084084084409e+00,2.780812447023691014e+00,2.780884314823776737e+00,2.584350585985356120e-05
-4.069069069069069400e+00,2.780307242292042957e+00,2.780381871374546954e+00,2.684130668248880437e-05
-4.054054054054054390e+00,2.779656541415853166e+00,2.779733811335540317e+00,2.779759679579746454e-05
-4.039039039039039380e+00,2.778869054626210033e+00,2.778948835552189855e+00,2.870903017686156136e-05
-4.024024024024024371e+00,2.777953847880255456e+00,2.778036001519863962e+00,2.957256117759462187e-05
-4.009009009009009361e+00,2.776920300991406965e+00,2.777004681521574092e+00,3.038544757544078828e-05
-3.993993993993993907e+00,2.775778064360175268e+00,2.775864519414897202e+00,3.114527172246780984e-05
-3.978978978978978898e+00,2.774537014804646429e+00,2.774577344746934404e+00,1.453552641606173272e-05
-3.963963963963963888e+00,2.773207211019841800e+00,2.773248300803322408e+00,1.481648198205168553e-05
-3.948948948948948878e+00,2.771798848995359332e+00,2.771840628333829049e+00,1.507277800990675563e-05
-3.933933933933933869e+00,2.770322217888937733e+00,2.770364615500722660e+00,1.530398256883049019e-05
-3.918918918918918859e+00,2.768787656788264329e+00,2.768830899723996986e+00,1.561775973280544769e-05
-3.903903903903903849e+00,2.767205512691036429e+00,2.767248882172027802e+00,1.567241792770451329e-05
-3.888888888888888840e+00,2.765586100062140673e+00,2.765629871900967540e+00,1.582707768367439671e-05
-3.873873873873873830e+00,2.763939662341682091e+00,2.763983765216791788e+00,1.595627140242556570e-05
-3.858858858858858820e+00,2.762276335548025763e+00,2.762320699100526689e+00,1.606024692041419142e-05
-3.843843843843843811e+00,2.760605946691498502e+00,2.760650669549158387e+00,1.620011476033231081e-05
-3.828828828828828801e+00,2.758938685248767619e+00,2.758983500212540907e+00,1.624328806962244026e-05
-3.813813813813813791e+00,2.757283974198573517e+00,2.757328813764672315e+00,1.626195826734815492e-05
-3.798798798798798781e+00,2.755651206741541515e+00,2.755696006109871643e+00,1.625700666212826385e-05
-3.783783783783783772e+00,2.754049526202626996e+00,2.754094223489169213e+00,1.622939627882074554e-05
-3.768768768768768762e+00,2.752487806052891894e+00,2.752532342499660167e+00,1.618017201128616660e-05
-3.753753753753753752e+00,2.750974632913555595e+00,2.751018994367296688e+00,1.612546254021617645e-05
-3.738738738738738743e+00,2.749518292334169001e+00,2.749562385608688597e+00,1.603646993077239630e-05
-3.723723723723723733e+00,2.748126757372634454e+00,2.748170520244509696e+00,1.592436551984690877e-05
-3.708708708708708723e+00,2.746807679843091154e+00,2.746851080804739720e+00,1.580026014218806227e-05
-3.693693693693693714e+00,2.745568384093961090e+00,2.745611381468207490e+00,1.566040064395712004e-05
-3.678678678678678704e+00,2.744415863192980698e+00,2.744458418795528321e+00,1.550601104253535563e-05
-3.663663663663663694e+00,2.743356777337534247e+00,2.743398856440037115e+00,1.533831014184774489e-05
-3.648648648648648685e+00,2.742397454336017226e+00,2.742439025611795866e+00,1.515850503526373256e-05
-3.633633633633633675e+00,2.741543892010752881e+00,2.741584927443494024e+00,1.496777733579404651e-05
-3.618618618618618665e+00,2.740801762276002140e+00,2.740842237077719901e+00,1.476728619043555295e-05
-3.603603603603603656e+00,2.740176416812841520e+00,2.740216309299354336e+00,1.455815235367895373e-05
-3.588588588588588646e+00,2.739672894064376862e+00,2.739712191737723401e+00,1.434372320751453143e-05
-3.573573573573573636e+00,2.739295927437165989e+00,2.739380583494638088e+00,3.090335748970771622e-05
-3.558558558558558627e+00,2.739049954562527311e+00,2.739133181554052499e+00,3.038442675429461781e-05
-3.543543543543543617e+00,2.738939127359644843e+00,2.739020900369242284e+00,2.985483228200905395e-05
-3.528528528528528607e+00,2.738967322906963098e+00,2.739047622539276805e+00,2.931662511193005907e-05
-3.513513513513513598e+00,2.739138154788657520e+00,2.739216966855071878e+00,2.877175023665349171e-05
-3.498498498498498588e+00,2.739454984989367681e+00,2.739532300149491117e+00,2.822202903729874464e-05
-3.483483483483483578e+00,2.739920936054272893e+00,2.739996749476017790e+00,2.766916484824117622e-05
-3.468468468468468568e+00,2.740538903460739029e+00,2.740613214508512918e+00,2.711475204910156349e-05
-3.453453453453453559e+00,2.741311568189371606e+00,2.741384380062403814e+00,2.656025676725807318e-05
-3.438438438438438549e+00,2.742241409214643877e+00,2.742312728649733522e+00,2.600703936664493687e-05
-3.423423423423423539e+00,2.743330716017455373e+00,2.743400552984799567e+00,2.545635097587642886e-05
-3.408408408408408530e+00,2.744581600978583946e+00,2.744649968377128602e+00,2.490933245855025748e-05
-3.393393393393393076e+00,2.745996011570628337e+00,2.746062924948069472e+00,2.436702263201090868e-05
-3.378378378378378066e+00,2.747575742328951076e+00,2.747641219619632480e+00,2.383036410061869102e-05
-3.363363363363363057e+00,2.749322446574815615e+00,2.749386507833534665e+00,2.330020116725218523e-05
-3.348348348348348047e+00,2.751237647799153141e+00,2.751300314966041327e+00,2.277729063137902863e-05
