time,magnification
-5.000000000000000000e+00,2.494149350994229852e+00
-4.984984984984984990e+00,2.501660714294222654e+00
-4.969969969969969981e+00,2.509168101545037999e+00
-4.954954954954954971e+00,2.516668416197071156e+00
-4.939939939939939961e+00,2.524158412644471383e+00
-4.924924924924924952e+00,2.531634694359973015e+00
-4.909909909909909942e+00,2.539093711018816979e+00
-4.894894894894894932e+00,2.546531756345132180e+00
-4.879879879879879923e+00,2.553944965985332161e+00
-4.864864864864864913e+00,2.561329316365021036e+00
-4.849849849849849903e+00,2.568680623524409512e+00
-4.834834834834834894e+00,2.575994544086133597e+00
-4.819819819819819884e+00,2.583266573809355648e+00
-4.804804804804804874e+00,2.590492050056410811e+00
-4.789789789789789864e+00,2.597666153568964909e+00
-4.774774774774774855e+00,2.604783911340202263e+00
-4.759759759759759845e+00,2.611840200400520118e+00
-4.744744744744744835e+00,2.618829752713269787e+00
-4.729729729729729826e+00,2.625747161057295997e+00
-4.714714714714714816e+00,2.632586887234537265e+00
-4.699699699699699806e+00,2.639343268796536801e+00
-4.684684684684684797e+00,2.646010530067712807e+00
-4.669669669669669787e+00,2.652582793062882693e+00
-4.654654654654654777e+00,2.659054090293611949e+00
-4.639639639639639768e+00,2.665418378856807546e+00
-4.624624624624624758e+00,2.671669555923931405e+00
-4.609609609609609748e+00,2.677801476326337582e+00
-4.594594594594594739e+00,2.683807971854443419e+00
-4.579579579579579729e+00,2.689682783261906796e+00
-4.564564564564564719e+00,2.695419913714310667e+00
-4.549549549549549710e+00,2.701013184684127655e+00
-4.534534534534534700e+00,2.706456555088196492e+00
-4.519519519519519690e+00,2.711744078619677811e+00
-4.504504504504504681e+00,2.716869931838538310e+00
-4.489489489489489671e+00,2.721828443310521539e+00
-4.474474474474474661e+00,2.726614124024993924e+00
-4.459459459459459651e+00,2.731221698550786225e+00
-4.444444444444444642e+00,2.735646137033466818e+00
-4.429429429429429632e+00,2.739882687617526180e+00
-4.414414414414414622e+00,2.743926909131439995e+00
-4.399399399399399613e+00,2.747774703835406118e+00
-4.384384384384384603e+00,2.751422349685406221e+00
-4.369369369369369593e+00,2.754866532175564764e+00
-4.354354354354354584e+00,2.758104375131014585e+00
-4.339339339339339574e+00,2.761133470200633599e+00
-4.324324324324324564e+00,2.763951904853630737e+00
-4.309309309309309555e+00,2.766558288284001410e+00
-4.294294294294294545e+00,2.768951775091598844e+00
-4.279279279279279535e+00,2.771132086313414788e+00
-4.264264264264264526e+00,2.773099527504604200e+00
-4.249249249249249516e+00,2.774855003614207671e+00
-4.234234234234234506e+00,2.776400030313252998e+00
-4.219219219219219497e+00,2.777736741597457204e+00
-4.204204204204204487e+00,2.778867893499494368e+00
-4.189189189189189477e+00,2.779796863719483202e+00
-4.174174174174174468e+00,2.780527647038706807e+00
-4.159159159159159458e+00,2.781064846557909753e+00
-4.144144144144144448e+00,2.781413660778975672e+00
-4.129129129129129439e+00,2.781579866375745169e+00
-4.114114114114114429e+00,2.781569797161657309e+00
-4.099099099099099419e+00,2.781390319030815572e+00
-4.084084084084084409e+00,2.781048801388250613e+00
-4.069069069069069400e+00,2.780553085194505059e+00
-4.054054054054054390e+00,2.779911447981511685e+00
-4.039039039039039380e+00,2.779132566327905618e+00
-4.024024024024024371e+00,2.778225475909219089e+00
-4.009009009009009361e+00,2.777199529864471828e+00
-3.993993993993994351e+00,2.776064355708739662e+00
-3.978978978978979342e+00,2.774829811300635996e+00
-3.963963963963964332e+00,2.773505940343959697e+00
-3.948948948948949322e+00,2.772102927873615563e+00
-3.933933933933934313e+00,2.770631056067644149e+00
-3.918918918918919303e+00,2.769100660916951728e+00
-3.903903903903904293e+00,2.767522090093975873e+00
-3.888888888888889284e+00,2.765905662364931850e+00
-3.873873873873874274e+00,2.764261628817821670e+00
-3.858858858858859264e+00,2.762600136337043821e+00
-3.843843843843844255e+00,2.760930744075462240e+00
-3.828828828828829245e+00,2.759264221309891241e+00
-3.813813813813814235e+00,2.757609728334672994e+00
-3.798798798798799226e+00,2.755976679018638631e+00
-3.783783783783783772e+00,2.754374238863922741e+00
-3.768768768768768762e+00,2.752811305258354935e+00
-3.753753753753753752e+00,2.751296489789801569e+00
-3.738738738738738743e+00,2.749838103882035423e+00
-3.723723723723723733e+00,2.748444147059158293e+00
-3.708708708708708723e+00,2.747122298057337986e+00
-3.693693693693693714e+00,2.745879907992216928e+00
-3.678678678678678704e+00,2.744723996857381998e+00
-3.663663663663663694e+00,2.743661251416557256e+00
-3.648648648648648685e+00,2.742698025578282017e+00
-3.633633633633633675e+00,2.741840342651675311e+00
-3.618618618618618665e+00,2.741093899305417914e+00
-3.603603603603603656e+00,2.740464071113277722e+00
-3.588588588588588646e+00,2.739955919458728850e+00
-3.573573573573573636e+00,2.739574199687729639e+00
-3.558558558558558627e+00,2.739323370309821648e+00
-3.543543543543543617e+00,2.739207602971659661e+00
-3.528528528528528607e+00,2.739230793342431358e+00
-3.513513513513513598e+00,2.739396572488107306e+00
-3.498498498498498588e+00,2.739708318669789922e+00
-3.483483483483483578e+00,2.740169169603926758e+00
-3.468468468468468568e+00,2.740782034771970022e+00
-3.453453453453453559e+00,2.741549608110609881e+00
-3.438438438438438549e+00,2.742474380417840418e+00
-3.423423423423423539e+00,2.743558652006545362e+00
-3.408408408408408530e+00,2.744804545073011859e+00
-3.393393393393393520e+00,2.746214015962812560e+00
-3.378378378378378510e+00,2.747788867189230544e+00
-3.363363363363363501e+00,2.749530759183794970e+00
-3.348348348348348491e+00,2.751441221724153952e+00
-3.333333333333333481e+00,2.753521665239668348e+00
-3.318318318318318472e+00,2.755773390997548589e+00
-3.303303303303303462e+00,2.758197602222604683e+00
-3.288288288288288452e+00,2.760795413659757447e+00
-3.273273273273273443e+00,2.763567861281315263e+00
-3.258258258258258433e+00,2.766515911467090749e+00
-3.243243243243243423e+00,2.769640469796695204e+00
-3.228228228228228414e+00,2.772942389405390173e+00
-3.213213213213213404e+00,2.776422479693374967e+00
-3.198198198198198394e+00,2.780081512567866842e+00
-3.183183183183183385e+00,2.783920230872222401e+00
-3.168168168168168375e+00,2.787939354907242429e+00
-3.153153153153153365e+00,2.792139589068929340e+00
-3.138138138138138356e+00,2.796521628038378449e+00
-3.123123123123123346e+00,2.801086162719347961e+00
-3.108108108108108336e+00,2.805833885718339804e+00
-3.093093093093093326e+00,2.810765497311907612e+00
-3.078078078078078317e+00,2.815881709421101498e+00
-3.063063063063063307e+00,2.821183251165694905e+00
-3.048048048048048297e+00,2.826670873224814695e+00
-3.033033033033033288e+00,2.832345352181450338e+00
-3.018018018018018278e+00,2.838207494797526653e+00
-3.003003003003003268e+00,2.844258141231892800e+00
-2.987987987987988259e+00,2.850498169807627047e+00
-2.972972972972973249e+00,2.856928499935209587e+00
-2.957957957957958239e+00,2.863550095692890984e+00
-2.942942942942943230e+00,2.870363969093227663e+00
-2.927927927927928220e+00,2.877371183261574483e+00
-2.912912912912913210e+00,2.884572855418717552e+00
-2.897897897897898201e+00,2.891970160031383408e+00
-2.882882882882883191e+00,2.899564331471049528e+00
-2.867867867867868181e+00,2.907356666614212770e+00
-2.852852852852853172e+00,2.915348527921918453e+00
-2.837837837837838162e+00,2.923541345872650687e+00
-2.822822822822823152e+00,2.931936621583968172e+00
-2.807807807807808143e+00,2.940535929899177336e+00
-2.792792792792793133e+00,2.949340920975123570e+00
-2.777777777777778123e+00,2.958353323387997502e+00
-2.762762762762763113e+00,2.967574946946828440e+00
-2.747747747747748104e+00,2.977007684122187303e+00
-2.732732732732733094e+00,2.986653513987774122e+00
-2.717717717717718084e+00,2.996514503936643425e+00
-2.702702702702703075e+00,3.006592812413247273e+00
-2.687687687687688065e+00,3.016890691538632652e+00
-2.672672672672673055e+00,3.027410489820126838e+00
-2.657657657657658046e+00,3.038154654886734196e+00
-2.642642642642643036e+00,3.049125736289789224e+00
-2.627627627627628026e+00,3.060326388012277299e+00
-2.612612612612613017e+00,3.071759371776840997e+00
-2.597597597597598007e+00,3.083427559841162235e+00
-2.582582582582582553e+00,3.095333938104321891e+00
-2.567567567567567544e+00,3.107481609657926303e+00
-2.552552552552552534e+00,3.119873797255817927e+00
-2.537537537537537524e+00,3.132513847675139296e+00
-2.522522522522522515e+00,3.145405233820761204e+00
-2.507507507507507505e+00,3.158551560016883641e+00
-2.492492492492492495e+00,3.171956564881845075e+00
-2.477477477477477485e+00,3.185624125361474324e+00
-2.462462462462462476e+00,3.199558260814695299e+00
-2.447447447447447466e+00,3.213763137252043212e+00
-2.432432432432432456e+00,3.228243071949627563e+00
-2.417417417417417447e+00,3.243002537569918076e+00
-2.402402402402402437e+00,3.258046167338422450e+00
-2.387387387387387427e+00,3.273378759837290097e+00
-2.372372372372372418e+00,3.289005284331111945e+00
-2.357357357357357408e+00,3.304930886271904455e+00
-2.342342342342342398e+00,3.321160892853558977e+00
-2.327327327327327389e+00,3.337700817713547874e+00
-2.312312312312312379e+00,3.354556369342879485e+00
-2.297297297297297369e+00,3.371733455963096482e+00
-2.282282282282282360e+00,3.389238192516705439e+00
-2.267267267267267350e+00,3.407076907764189144e+00
-2.252252252252252340e+00,3.425256151342503053e+00
-2.237237237237236442e+00,3.443782701921330514e+00
-2.222222222222222321e+00,3.462663574628614072e+00
-2.207207207207207311e+00,3.481906029628857979e+00
-2.192192192192192302e+00,3.501517580726603907e+00
-2.177177177177177292e+00,3.521506005080363710e+00
-2.162162162162161394e+00,3.541879351102676932e+00
-2.147147147147147273e+00,3.562645950213349622e+00
-2.132132132132132263e+00,3.583814426364554162e+00
-2.117117117117117253e+00,3.605393707079397547e+00
-2.102102102102102243e+00,3.627393034852422371e+00
-2.087087087087086346e+00,3.649821978998620153e+00
-2.072072072072072224e+00,3.672690448143807629e+00
-2.057057057057057214e+00,3.696008703359939140e+00
-2.042042042042042205e+00,3.719787371757694139e+00
-2.027027027027027195e+00,3.744037460621616020e+00
-2.012012012012011297e+00,3.768770373561355580e+00
-1.996996996996997176e+00,3.793997922536616052e+00
-1.981981981981981722e+00,3.819732348861320403e+00
-1.966966966966966712e+00,3.845986337893839035e+00
-1.951951951951952147e+00,3.872773037078405256e+00
-1.936936936936936249e+00,3.900106074999063033e+00
-1.921921921921921683e+00,3.927999581021818898e+00
-1.906906906906906674e+00,3.956468205884962952e+00
-1.891891891891891664e+00,3.985527143179486309e+00
-1.876876876876877098e+00,4.015192152615094656e+00
-1.861861861861861200e+00,4.045479580635078065e+00
-1.846846846846846635e+00,4.076406389461267210e+00
-1.831831831831831625e+00,4.107990179814256848e+00
-1.816816816816816615e+00,4.140249218773385920e+00
-1.801801801801802050e+00,4.173202468014828526e+00
-1.786786786786786152e+00,4.206869612786454660e+00
-1.771771771771771586e+00,4.241271090422154444e+00
-1.756756756756756577e+00,4.276428142134935939e+00
-1.741741741741741567e+00,4.312362765980937596e+00
-1.726726726726727001e+00,4.349098499337650914e+00
-1.711711711711711104e+00,4.386655954826415460e+00
-1.696696696696696538e+00,4.425065375701058734e+00
-1.681681681681681528e+00,4.464349351566348822e+00
-1.666666666666666519e+00,4.504533562146789016e+00
-1.651651651651651953e+00,4.545647351856254126e+00
-1.636636636636636055e+00,4.587719102031704743e+00
-1.621621621621621490e+00,4.630778829790775930e+00
-1.606606606606606480e+00,4.674857715504009192e+00
-1.591591591591591470e+00,4.719988165711982653e+00
-1.576576576576576905e+00,4.766203869759748635e+00
-1.561561561561561007e+00,4.813539851733671604e+00
-1.546546546546546441e+00,4.862032521825898179e+00
-1.531531531531531432e+00,4.911719729902383591e+00
-1.516516516516516422e+00,4.962640810666337998e+00
-1.501501501501501856e+00,5.014836645379885383e+00
-1.486486486486485958e+00,5.068349708151933086e+00
-1.471471471471471393e+00,5.123224119341967864e+00
-1.456456456456456383e+00,5.179505693891085727e+00
-1.441441441441441373e+00,5.237241992336543639e+00
-1.426426426426426808e+00,5.296482353720950442e+00
-1.411411411411410910e+00,5.357277949161247221e+00
-1.396396396396396344e+00,5.419681807970020415e+00
-1.381381381381381335e+00,5.483748845423432883e+00
-1.366366366366366325e+00,5.549535880808745603e+00
-1.351351351351351759e+00,5.617101648359846600e+00
-1.336336336336335862e+00,5.686506770013216361e+00
-1.321321321321321296e+00,5.757813753802593304e+00
-1.306306306306306286e+00,5.831086934666408261e+00
-1.291291291291291277e+00,5.906392403960342818e+00
-1.276276276276276711e+00,5.983797909887741184e+00
-1.261261261261260813e+00,6.063372725412261133e+00
-1.246246246246246248e+00,6.145187437349576065e+00
