time,magnification
-5.000000000000000000e+00,2.494214612119138419e+00
-4.984984984984984990e+00,2.501727283533076829e+00
-4.969969969969969981e+00,2.509235948054958865e+00
-4.954954954954954971e+00,2.516737502112896152e+00
-4.939939939939939961e+00,2.524228693424345416e+00
-4.924924924924924952e+00,2.531706117996941785e+00
-4.909909909909909942e+00,2.539166217460870456e+00
-4.894894894894894932e+00,2.546605276800400830e+00
-4.879879879879879923e+00,2.554019422505569015e+00
-4.864864864864864913e+00,2.561404621185032315e+00
-4.849849849849849903e+00,2.568756678707520891e+00
-4.834834834834834894e+00,2.576071240025560094e+00
-4.819819819819819884e+00,2.583343789580881289e+00
-4.804804804804804874e+00,2.590569652548652346e+00
-4.789789789789789864e+00,2.597743996800118804e+00
-4.774774774774774855e+00,2.604861835898379496e+00
-4.759759759759759845e+00,2.611918032874052997e+00
-4.744744744744744835e+00,2.618907305295578691e+00
-4.729729729729729826e+00,2.625824231211454585e+00
-4.714714714714714816e+00,2.632663256504817806e+00
-4.699699699699699806e+00,2.639418703377493625e+00
-4.684684684684684797e+00,2.646084780256071856e+00
-4.669669669669669787e+00,2.652655593132132505e+00
-4.654654654654654777e+00,2.659125158271773426e+00
-4.639639639639639768e+00,2.665487416563530942e+00
-4.624624624624624758e+00,2.671736249366369442e+00
-4.609609609609609748e+00,2.677865495990421341e+00
-4.594594594594594739e+00,2.683868972749699822e+00
-4.579579579579579729e+00,2.689740402744428494e+00
-4.564564564564564719e+00,2.695473782544151042e+00
-4.549549549549549710e+00,2.701062917578813671e+00
-4.534534534534534700e+00,2.706501755368424078e+00
-4.519519519519519690e+00,2.711784339636119423e+00
-4.504504504504504681e+00,2.716904838609942363e+00
-4.489489489489489671e+00,2.721857574375103894e+00
-4.474474474474474661e+00,2.726637053504145758e+00
-4.459459459459459651e+00,2.731237998420641411e+00
-4.444444444444444642e+00,2.735655379596227732e+00
-4.429429429429429632e+00,2.739884448160406105e+00
-4.414414414414414622e+00,2.743920768756902273e+00
-4.399399399399399613e+00,2.747760252442089435e+00
-4.384384384384384603e+00,2.751399189074678286e+00
-4.369369369369369593e+00,2.754834279254461116e+00
-4.354354354354354584e+00,2.758062665178167450e+00
-4.339339339339339574e+00,2.761081960158016102e+00
-4.324324324324324564e+00,2.763890276603639506e+00
-4.309309309309309555e+00,2.766486251868627733e+00
-4.294294294294294545e+00,2.768869071828393924e+00
-4.279279279279279535e+00,2.771038491761728118e+00
-4.264264264264264526e+00,2.772994854235280915e+00
-4.249249249249249516e+00,2.774739103736635126e+00
-4.234234234234234506e+00,2.776272797715356511e+00
-4.219219219219219497e+00,2.777598113857177697e+00
-4.204204204204204487e+00,2.778717853430062945e+00
-4.189189189189189477e+00,2.779635440515840550e+00
-4.174174174174174468e+00,2.780354916998238224e+00
-4.159159159159159458e+00,2.780880933355299511e+00
-4.144144144144144448e+00,2.781218735282413590e+00
-4.129129129129129439e+00,2.781374145999502723e+00
-4.114114114114114429e+00,2.781353544758087271e+00
-4.099099099099099419e+00,2.781163841333113673e+00
-4.084084084084084409e+00,2.780812447023205625e+00
-4.069069069069069400e+00,2.780307242292093139e+00
-4.054054054054054390e+00,2.779656541415176818e+00
-4.039039039039039380e+00,2.778869054625569213e+00
-4.024024024024024371e+00,2.777953847880327398e+00
-4.009009009009009361e+00,2.776920300992408830e+00
-3.993993993993994351e+00,2.775778064361125175e+00
-3.978978978978979342e+00,2.774537014811514712e+00
-3.963963963963964332e+00,2.773207211022588048e+00
-3.948948948948949322e+00,2.771798848993654474e+00
-3.933933933933934313e+00,2.770322217888937288e+00
-3.918918918918919303e+00,2.768787656789002849e+00
-3.903903903903904293e+00,2.767205512686664814e+00
-3.888888888888889284e+00,2.765586100067209063e+00
-3.873873873873874274e+00,2.763939662340471948e+00
-3.858858858858859264e+00,2.762276335549641360e+00
-3.843843843843844255e+00,2.760605946694975277e+00
-3.828828828828829245e+00,2.758938685247975364e+00
-3.813813813813814235e+00,2.757283974198538878e+00
-3.798798798798799226e+00,2.755651206740570291e+00
-3.783783783783783772e+00,2.754049526201529652e+00
-3.768768768768768762e+00,2.752487806053257824e+00
-3.753753753753753752e+00,2.750974632913171014e+00
-3.738738738738738743e+00,2.749518292335026537e+00
-3.723723723723723733e+00,2.748126757373399176e+00
-3.708708708708708723e+00,2.746807679841904992e+00
-3.693693693693693714e+00,2.745568384093031611e+00
-3.678678678678678704e+00,2.744415863192668947e+00
-3.663663663663663694e+00,2.743356777336747765e+00
-3.648648648648648685e+00,2.742397454337373031e+00
-3.633633633633633675e+00,2.741543892010676498e+00
-3.618618618618618665e+00,2.740801762276162457e+00
-3.603603603603603656e+00,2.740176416811706428e+00
-3.588588588588588646e+00,2.739672894062920694e+00
-3.573573573573573636e+00,2.739295927436498967e+00
-3.558558558558558627e+00,2.739049954561839861e+00
-3.543543543543543617e+00,2.738939127360049852e+00
-3.528528528528528607e+00,2.738967322907233992e+00
-3.513513513513513598e+00,2.739138154788556268e+00
-3.498498498498498588e+00,2.739454984989923236e+00
-3.483483483483483578e+00,2.739920936055318279e+00
-3.468468468468468568e+00,2.740538903462883535e+00
-3.453453453453453559e+00,2.741311568189775283e+00
-3.438438438438438549e+00,2.742241409214212222e+00
-3.423423423423423539e+00,2.743330716017509108e+00
-3.408408408408408530e+00,2.744581600979521419e+00
-3.393393393393393520e+00,2.745996011572040096e+00
-3.378378378378378510e+00,2.747575742328347559e+00
-3.363363363363363501e+00,2.749322446574882228e+00
-3.348348348348348491e+00,2.751237647796666685e+00
-3.333333333333333481e+00,2.753322750723865564e+00
-3.318318318318318472e+00,2.755579052032639531e+00
-3.303303303303303462e+00,2.758007750674313918e+00
-3.288288288288288452e+00,2.760609957835434169e+00
-3.273273273273273443e+00,2.763386706498480727e+00
-3.258258258258258433e+00,2.766338960576785855e+00
-3.243243243243243423e+00,2.769467623705395454e+00
-3.228228228228228414e+00,2.772773547593457621e+00
-3.213213213213213404e+00,2.776257540036405125e+00
-3.198198198198198394e+00,2.779920372484947499e+00
-3.183183183183183385e+00,2.783762787323439181e+00
-3.168168168168168375e+00,2.787785504734626940e+00
-3.153153153153153365e+00,2.791989229229587810e+00
-3.138138138138138356e+00,2.796374655862522207e+00
-3.123123123123123346e+00,2.800942476128750691e+00
-3.108108108108108336e+00,2.805693383538471419e+00
-3.093093093093093326e+00,2.810628078928573803e+00
-3.078078078078078317e+00,2.815747275484701717e+00
-3.063063063063063307e+00,2.821051703528297150e+00
-3.048048048048048297e+00,2.826542115043592762e+00
-3.033033033033033288e+00,2.832219287989539147e+00
-3.018018018018018278e+00,2.838084030413679404e+00
