time,magnification
-5.000000000000000000e+00,2.503873094252229592e+00
-4.969939879759518675e+00,2.516231568424220466e+00
-4.939879759519038238e+00,2.528355521807265305e+00
-4.909819639278556913e+00,2.540211903968838669e+00
-4.879759519038075588e+00,2.551766473502192767e+00
-4.849699398797595151e+00,2.562984044183521881e+00
-4.819639278557114714e+00,2.573828787948990282e+00
-4.789579158316633389e+00,2.584264597332256219e+00
-4.759519038076152064e+00,2.594255508381678066e+00
-4.729458917835670739e+00,2.603766183011837043e+00
-4.699398797595190302e+00,2.612762447243355712e+00
-4.669338677354708977e+00,2.621211878900381986e+00
-4.639278557114228541e+00,2.629084435152095445e+00
-4.609218436873748104e+00,2.636353106949921976e+00
-4.579158316633266779e+00,2.642994584111688638e+00
-4.549098196392785454e+00,2.648989911775140094e+00
-4.519038076152304129e+00,2.654325116453112976e+00
-4.488977955911823692e+00,2.658991778248714244e+00
-4.458917835671342367e+00,2.662987525201838679e+00
-4.428857715430861042e+00,2.666316426453422039e+00
-4.398797595190380605e+00,2.668989263078902496e+00
-4.368737474949900168e+00,2.671023659088685331e+00
-4.338677354709418843e+00,2.672444060128176702e+00
-4.308617234468937518e+00,2.673281553596043914e+00
-4.278557114228457081e+00,2.673573530873523563e+00
-4.248496993987976644e+00,2.673363199646753952e+00
-4.218436873747494431e+00,2.672698961374948556e+00
-4.188376753507013994e+00,2.671633675269782682e+00
-4.158316633266533557e+00,2.670223835217258923e+00
-4.128256513026052232e+00,2.668528689513140595e+00
-4.098196392785570907e+00,2.666609334871206993e+00
-4.068136272545089582e+00,2.664527815846879033e+00
-4.038076152304610034e+00,2.662346258720796666e+00
-4.008016032064128709e+00,2.660126065282168550e+00
-3.977955911823647384e+00,2.657927187225714860e+00
-3.947895791583166503e+00,2.655807496474842377e+00
-3.917835671342685622e+00,2.653822261118206072e+00
-3.887775551102204297e+00,2.652023731209127710e+00
-3.857715430861723416e+00,2.650460833762218638e+00
-3.827655310621242979e+00,2.649178972128920506e+00
-3.797595190380762098e+00,2.648219921678824473e+00
-3.767535070140280773e+00,2.647621811401007275e+00
-3.737474949899799892e+00,2.647419179629935115e+00
-3.707414829659319011e+00,2.647643091499888079e+00
-3.677354709418837686e+00,2.648321305806789816e+00
-3.647294589178356361e+00,2.649478479559440824e+00
-3.617234468937875480e+00,2.651136399482760364e+00
-3.587174348697394599e+00,2.653314230957793285e+00
-3.557114228456914162e+00,2.656028776226857513e+00
-3.527054108216433281e+00,2.659294735063888471e+00
-3.496993987975952400e+00,2.663124962435313492e+00
-3.466933867735471075e+00,2.667530718907223264e+00
-3.436873747494989750e+00,2.672521910657505106e+00
-3.406813627254508869e+00,2.678107316911761071e+00
-3.376753507014027988e+00,2.684294803434743137e+00
-3.346693386773547552e+00,2.691091521380084117e+00
-3.316633266533066227e+00,2.698504091339351874e+00
-3.286573146292585346e+00,2.706538772852576713e+00
-3.256513026052104465e+00,2.715201619959587198e+00
-3.226452905811623140e+00,2.724498623602596759e+00
-3.196392785571142259e+00,2.734435841848807947e+00
-3.166332665330661378e+00,2.745019519002505515e+00
-3.136272545090180053e+00,2.756256194730490883e+00
-3.106212424849698728e+00,2.768152804344472528e+00
-3.076152304609218735e+00,2.780716771377459207e+00
-3.046092184368737854e+00,2.793956093566387633e+00
