t0,u0,tE,log_q,log_s,alpha,log_rho
2847.999167302913,0.11737631392756556,61.56394017522131,-2.3352766336230584,0.013398259951921121,3.9189090289416666,-4.123524146903737
2848.0597221047437,0.1116337769247073,61.64193353955004,-2.4325029150795117,0.034189742834471404,3.7919570125848217,-4.0873457736568986
2848.0257758161456,0.11278757503483941,61.546424043294074,-2.427374289249306,0.011158345414914894,4.0012342939810495,-3.943955492090357
2848.076273334016,0.11548550747658061,61.54655778374089,-2.300235509470065,0.034020161952433736,3.979778234578918,-4.030100918139685
2847.902341895943,0.12053739342515915,61.528520325899045,-2.160192467438217,0.008189021282459574,3.8784149513516684,-3.862862401160383
2847.954750720501,0.12009797240234207,61.55848184840663,-2.3021625195485638,0.031811732973062945,4.288976594068649,-3.9448499161560795
2848.112691826225,0.11469138284734316,61.53067345439221,-2.457285705994155,-0.004989123360434833,4.384397666814009,-3.9418037545113327
2848.2719742951867,0.13062788247691756,61.35181149846145,-2.3108083285875667,0.021406693014156097,3.8633158196142743,-4.03980140432613
2848.036474077214,0.12857662716994311,61.58883784684545,-2.4077339708165324,0.009165790925049322,3.8957914815945536,-3.972214167254312
2847.8505487398056,0.12178662577524399,61.60976482230061,-2.347171962619074,0.058909198679646835,3.9991378693797843,-4.065931541173012
2848.012120141551,0.11327475407125605,61.69095194712304,-2.1799037658649385,0.07225506313945451,3.991134445567469,-4.042348794640311
2848.234298702883,0.14277361517290704,61.47482127461224,-2.351788777661416,0.02683574478411843,3.8716126111500375,-4.052666456966325
2848.1085476820967,0.10867978886915573,61.43717537155368,-2.2756968815818137,0.017109232555403864,3.979406909168374,-3.8115248711315344
2848.1057031404757,0.11665295938891551,61.6040679670525,-2.5819565121007635,0.015730566516431455,4.146917092121388,-3.970120937975388
2847.9975367856186,0.1485367951111271,61.42313732157174,-2.2339545171077764,0.018346127448084726,4.145814456655976,-4.037385744444239
2848.0831977793837,0.12252897380752556,61.486049376648516,-2.377345016190123,0.07038633787632098,4.20635781574829,-3.992007896133296
2848.1143375489028,0.10829990026572825,61.63305717842715,-2.412645817494272,0.0546062948948246,3.950786652360344,-3.8506107457601146
2847.965055105387,0.14873621751356422,61.517456427090906,-2.229653221792245,0.08718943486390851,3.953989887761721,-4.081596034388267
2847.979781711693,0.1141592386763741,61.54313140234296,-2.3834187875652177,-0.03556225140310021,3.8013668286343467,-3.9169496247766777
2848.0766343983796,0.12162631369966394,61.48263661430642,-2.3062156217037653,0.07786878417199816,4.096795256084759,-4.0991774714743725
2847.970030843443,0.12464841399820197,61.52314165356993,-2.359663205617944,0.0057505333473615305,3.734163595882517,-4.037873262261339
2848.2728776057666,0.11973935012475206,61.45334757231229,-2.290787638817011,0.025337759949508487,3.708367421735913,-4.043782120608307
2848.1961022463024,0.1213737130638261,61.44641612367614,-2.3676014025343743,0.032198905450927406,4.046927845644659,-3.9273786890877656
2848.1814213832404,0.13294186750028109,61.44634600380923,-2.3543673613144285,0.012238972587188202,4.096341635632932,-4.056610104687288
2848.009100235276,0.11077230919563895,61.48553309530938,-2.3298641699290616,0.010378376919233934,3.8484082696729005,-3.7562195077288374
2848.0166050256453,0.13919512981442178,61.52034264331839,-2.218105836801386,0.08838500372728664,3.9489239945431587,-3.933643629968511
2848.0805527547886,0.12355256341679649,61.295097420600186,-2.3003066623595885,0.024451783500637925,4.0002648225606485,-4.060551252691903
