time,magnification
-5.000000000000000000e+00,2.195275050452303311e+00
-4.969939879759518675e+00,2.206571330117090390e+00
-4.939879759519038238e+00,2.218019968248308160e+00
-4.909819639278556913e+00,2.229623888739411530e+00
-4.879759519038075588e+00,2.241386092671764807e+00
-4.849699398797595151e+00,2.253309661019664123e+00
-4.819639278557114714e+00,2.265397757478182950e+00
-4.789579158316633389e+00,2.277653631420895053e+00
-4.759519038076152064e+00,2.290080620995121663e+00
-4.729458917835670739e+00,2.302682156362746646e+00
-4.699398797595190302e+00,2.315461763095314041e+00
-4.669338677354708977e+00,2.328423065732939889e+00
-4.639278557114228541e+00,2.341569791516814991e+00
-4.609218436873748104e+00,2.354905774306393695e+00
-4.579158316633266779e+00,2.368434958692819059e+00
-4.549098196392785454e+00,2.382161404321132547e+00
-4.519038076152304129e+00,2.396089290434939123e+00
-4.488977955911823692e+00,2.410222920658101842e+00
-4.458917835671342367e+00,2.424566728029378115e+00
-4.428857715430861042e+00,2.439125280307203436e+00
-4.398797595190380605e+00,2.453903285563138414e+00
-4.368737474949900168e+00,2.468905598084276232e+00
-4.338677354709418843e+00,2.484137224606540517e+00
-4.308617234468937518e+00,2.499603330902657294e+00
-4.278557114228457081e+00,2.515309248750926763e+00
-4.248496993987976644e+00,2.531260483313088727e+00
-4.218436873747494431e+00,2.547462720952134774e+00
-4.188376753507013994e+00,2.563921837524060887e+00
-4.158316633266533557e+00,2.580643907180449226e+00
-4.128256513026052232e+00,2.597635211722546078e+00
-4.098196392785570907e+00,2.614902250551306206e+00
-4.068136272545089582e+00,2.632451751262519846e+00
-4.038076152304610034e+00,2.650290680940659005e+00
-4.008016032064128709e+00,2.668426258211145985e+00
-3.977955911823647384e+00,2.686865966116438464e+00
-3.947895791583166503e+00,2.705617565888540632e+00
-3.917835671342685622e+00,2.724689111698252120e+00
-3.887775551102204297e+00,2.744088966470354496e+00
-3.857715430861723416e+00,2.763825818863562489e+00
-3.827655310621242979e+00,2.783908701525712459e+00
-3.797595190380762098e+00,2.804347010746832680e+00
-3.767535070140280773e+00,2.825150527647571241e+00
-3.737474949899799892e+00,2.846329441056446363e+00
-3.707414829659319011e+00,2.867894372248255941e+00
-3.677354709418837686e+00,2.889856401737013858e+00
-3.647294589178356361e+00,2.912227098341268139e+00
-3.617234468937875480e+00,2.935018550767286794e+00
-3.587174348697394599e+00,2.958243401987710186e+00
-3.557114228456914162e+00,2.981914886730139269e+00
-3.527054108216433281e+00,3.006046872432261985e+00
-3.496993987975952400e+00,3.030653904069809279e+00
-3.466933867735471075e+00,3.055751253319940020e+00
-3.436873747494989750e+00,3.081354972589497088e+00
-3.406813627254508869e+00,3.107481954514452305e+00
-3.376753507014027988e+00,3.134149997627057260e+00
-3.346693386773547552e+00,3.161377878993182122e+00
-3.316633266533066227e+00,3.189185434746678816e+00
-3.286573146292585346e+00,3.217593649593933680e+00
-3.256513026052104465e+00,3.246624756535495315e+00
-3.226452905811623140e+00,3.276302348257119856e+00
-3.196392785571142259e+00,3.306651501887891254e+00
-3.166332665330661378e+00,3.337698919115070773e+00
-3.136272545090180053e+00,3.369473083996334495e+00
-3.106212424849698728e+00,3.402004441232389542e+00
-3.076152304609218735e+00,3.435325598171649730e+00
-3.046092184368737854e+00,3.469471554437296046e+00
-3.016032064128256529e+00,3.504479963819250976e+00
-2.985971943887775204e+00,3.540391433992727155e+00
-2.955911823647294323e+00,3.577249870754845684e+00
-2.925851703406813442e+00,3.615102874863654225e+00
-2.895791583166332117e+00,3.654002201289754836e+00
-2.865731462925852124e+00,3.694004292840562975e+00
-2.835671342685371243e+00,3.735170902806614457e+00
-2.805611222444889918e+00,3.777569824662198705e+00
-2.775551102204408593e+00,3.821275751129316944e+00
-2.745490981963927712e+00,3.866371290349616352e+00
-2.715430861723447720e+00,3.912948173852436540e+00
-2.685370741482965506e+00,3.961108699927239130e+00
-2.655310621242485070e+00,4.010967467522312369e+00
-2.625250501002003300e+00,4.062653470727967786e+00
-2.595190380761523308e+00,4.116312643362645574e+00
-2.565130260521041983e+00,4.172110968620475369e+00
-2.535070140280561990e+00,4.230238302068102030e+00
-2.505010020040080221e+00,4.290913099932998520e+00
-2.474949899799599784e+00,4.354388301580525145e+00
-2.444889779559118459e+00,4.420958688625616695e+00
-2.414829659318637578e+00,4.490970136048384020e+00
-2.384769539078156697e+00,4.564825179040285619e+00
-2.354709418837675372e+00,4.643018836635649293e+00
-2.324649298597194047e+00,4.726128384537610749e+00
-2.294589178356713166e+00,4.814853586514510120e+00
-2.264529058116233173e+00,4.910040067009068032e+00
-2.234468937875751848e+00,5.012710095113365405e+00
-2.204408817635270967e+00,5.124091515408849773e+00
-2.174348697394790086e+00,5.245629520026716008e+00
-2.144288577154308761e+00,5.378941166614910507e+00
-2.114228456913827436e+00,5.525616200617789353e+00
-2.084168336673346555e+00,5.686651004780224561e+00
-2.054108216432866563e+00,5.861129348912525572e+00
-2.024048096192385238e+00,6.043749627867275542e+00
-1.993987975951904357e+00,6.221812503176282760e+00
-1.963927855711423032e+00,6.374515750376852807e+00
-1.933867735470942151e+00,6.477428779616738019e+00
-1.903807615230460826e+00,6.509317452803769832e+00
-1.873747494989979945e+00,6.455955193895099420e+00
-1.843687374749499064e+00,6.310436636992610815e+00
-1.813627254509018183e+00,6.073032141786847582e+00
-1.783567134268537302e+00,5.753542844367241393e+00
-1.753507014028056421e+00,5.378864331462779091e+00
-1.723446893787575540e+00,5.003110494443911982e+00
-1.693386773547094215e+00,4.691259456364543112e+00
-1.663326653306613334e+00,4.468003685367425426e+00
-1.633266533066132009e+00,4.317193215896240943e+00
-1.603206412825651572e+00,4.216530712021361538e+00
-1.573146292585170247e+00,4.150021655021920886e+00
-1.543086172344689366e+00,4.107439117484678270e+00
-1.513026052104208485e+00,4.082242774517618855e+00
-1.482965931863727604e+00,4.070131938493630308e+00
-1.452905811623246723e+00,4.068186269017670220e+00
-1.422845691382765398e+00,4.074362040175987687e+00
-1.392785571142284518e+00,4.087190207997231539e+00
-1.362725450901803637e+00,4.105576830798567833e+00
-1.332665330661322756e+00,4.128740348420192774e+00
-1.302605210420841875e+00,4.156040042034738313e+00
-1.272545090180360994e+00,4.186993100816626345e+00
-1.242484969939880113e+00,4.221217608221336626e+00
-1.212424849699398788e+00,4.258406714898551826e+00
-1.182364729458918351e+00,4.298309890245507248e+00
-1.152304609218436582e+00,4.340719026227180422e+00
-1.122244488977956589e+00,4.385457923188044838e+00
-1.092184368737474820e+00,4.432374167370267237e+00
-1.062124248496994383e+00,4.481332721135389718e+00
-1.032064128256513058e+00,4.532210752927476882e+00
-1.002004008016032621e+00,4.584893373153075657e+00
-9.719438877755508521e-01,4.639270038049869704e+00
-9.418837675350708594e-01,4.695231451150023716e+00
-9.118236472945886462e-01,4.752666840691761152e+00
-8.817635270541086534e-01,4.811461527526066817e+00
