time,microjax,vbmicrolensing,relative_difference
-4.354354354354354584e+00,2.758104375132151453e+00,2.758107458843574999e+00,1.118053400587577314e-06
-4.339339339339339574e+00,2.761133470201628359e+00,2.761136574775147068e+00,1.124382454338152568e-06
-4.324324324324324564e+00,2.763951904853630737e+00,2.763955025715675973e+00,1.129129098049634235e-06
-4.309309309309309555e+00,2.766558288284931777e+00,2.766561420473695687e+00,1.132159488934785286e-06
-4.294294294294294545e+00,2.768951775090382483e+00,2.768954913345676783e+00,1.133371756677484328e-06
-4.279279279279279535e+00,2.771132086313414788e+00,2.771135225161461157e+00,1.132693929140937467e-06
-4.264264264264264526e+00,2.773099527504334638e+00,2.773102661386104284e+00,1.130099441785310899e-06
-4.249249249249249516e+00,2.774855003614262738e+00,2.774858126979196093e+00,1.125594459402245979e-06
-4.234234234234234506e+00,2.776400030313252554e+00,2.776403137749698935e+00,1.119230994998743328e-06
-4.219219219219219497e+00,2.777736741597457648e+00,2.777739827974151865e+00,1.111110789835128010e-06
-4.204204204204204487e+00,2.778867893499494368e+00,2.778870954085571832e+00,1.101377547943978755e-06
-4.189189189189189477e+00,2.779796863719709688e+00,2.779799894286830941e+00,1.090210531874032056e-06
-4.174174174174174468e+00,2.780527647038705918e+00,2.780530643988674111e+00,1.077833820918954036e-06
-4.159159159159159458e+00,2.781064846557909753e+00,2.781067807027193695e+00,1.064508127583524256e-06
-4.144144144144144448e+00,2.781413660778975672e+00,2.781416582669773874e+00,1.050504558147644573e-06
-4.129129129129129439e+00,2.781579866375745169e+00,2.781582748474809463e+00,1.036136374470418952e-06
-4.114114114114114429e+00,2.781569797161658197e+00,2.781572639125595270e+00,1.021711206494275583e-06
-4.099099099099099419e+00,2.781390319031309843e+00,2.781393121419357684e+00,1.007548349156045530e-06
-4.084084084084084409e+00,2.781048801388736891e+00,2.781051565636028400e+00,9.939575826875584591e-07
-4.069069069069069400e+00,2.780553085194454876e+00,2.780555813573547308e+00,9.812351469848827270e-07
-4.054054054054054390e+00,2.779911447982188477e+00,2.779914143568183782e+00,9.696651968700353618e-07
-4.039039039039039380e+00,2.779132566328546883e+00,2.779135232870768135e+00,9.594863142006718400e-07
-4.024024024024024371e+00,2.778225475909147146e+00,2.778228117770160210e+00,9.509157999539874817e-07
-4.009009009009009361e+00,2.777199529863469518e+00,2.777202151892849358e+00,9.441262235997065610e-07
-3.993993993993993907e+00,2.776064355707794196e+00,2.776066963115065622e+00,9.392450924529570428e-07
-3.978978978978978898e+00,2.774829811293758830e+00,2.774832409539867761e+00,9.363614537579171187e-07
-3.963963963963963888e+00,2.773505940341212561e+00,2.773508534992880303e+00,9.355124150533247635e-07
-3.948948948948948878e+00,2.772102927875317757e+00,2.772105524484127947e+00,9.366919070202124703e-07
-3.933933933933933869e+00,2.770631056067645037e+00,2.770633660064228287e+00,9.398559689735067569e-07
-3.918918918918918859e+00,2.769100660916211432e+00,2.769103641702588714e+00,1.076444497198249679e-06
-3.903903903903903849e+00,2.767522090098350596e+00,2.767524664599231077e+00,9.302539967982487184e-07
-3.888888888888888840e+00,2.765905662359867012e+00,2.765908258634012906e+00,9.386696531924161723e-07
-3.873873873873873830e+00,2.764261628819034922e+00,2.764264250800898548e+00,9.485279357307151115e-07
-3.858858858858858820e+00,2.762600136335427337e+00,2.762602787450584074e+00,9.596439881913648562e-07
-3.843843843843843811e+00,2.760930744729761965e+00,2.760933876476036275e+00,1.134306873841880376e-06
-3.828828828828828801e+00,2.759264221978548370e+00,2.759267355709999592e+00,1.135711421633902322e-06
-3.813813813813813791e+00,2.757609728919704573e+00,2.757612864044605150e+00,1.136898127164601323e-06
-3.798798798798798781e+00,2.755976679402927232e+00,2.755979815379509645e+00,1.137880823695965405e-06
-3.783783783783783772e+00,2.754374239150676029e+00,2.754377375467437439e+00,1.138666324136981769e-06
-3.768768768768768762e+00,2.752811305458554347e+00,2.752814441675532020e+00,1.139276563720673890e-06
-3.753753753753753752e+00,2.751296489940043166e+00,2.751299625653252701e+00,1.139720726996393315e-06
-3.738738738738738743e+00,2.749838104004871830e+00,2.749841238855200043e+00,1.140011388263841983e-06
-3.723723723723723733e+00,2.748444147174001095e+00,2.748447280855203623e+00,1.140164202659275663e-06
-3.708708708708708723e+00,2.747122298080415970e+00,2.747125430333367202e+00,1.140192914617740735e-06
-3.693693693693693714e+00,2.745879908010203874e+00,2.745883038627165540e+00,1.140113004678984206e-06
-3.678678678678678704e+00,2.744723996879280481e+00,2.744727125693037451e+00,1.139936180788677713e-06
-3.663663663663663694e+00,2.743661251446070093e+00,2.743664378330370024e+00,1.139674489572174110e-06
-3.648648648648648685e+00,2.742698025615830648e+00,2.742701150494670781e+00,1.139343540789777345e-06
-3.633633633633633675e+00,2.741840342704356281e+00,2.741843465531764501e+00,1.138951748149455264e-06
-3.618618618618618665e+00,2.741093899367293751e+00,2.741097020150065511e+00,1.138515984227574192e-06
-3.603603603603603656e+00,2.740464071183102313e+00,2.740467189957686234e+00,1.138044854304325833e-06
-3.588588588588588646e+00,2.739955919545473684e+00,2.739959036381298674e+00,1.137548329593442710e-06
-3.573573573573573636e+00,2.739574199788195497e+00,2.739577314802409180e+00,1.137041906739702069e-06
-3.558558558558558627e+00,2.739323370408714098e+00,2.739326483731947537e+00,1.136528724096290127e-06
-3.543543543543543617e+00,2.739207603063794405e+00,2.739210714875590202e+00,1.136024979348355521e-06
-3.528528528528528607e+00,2.739230793447543721e+00,2.739233903931242331e+00,1.135530519736014702e-06
-3.513513513513513598e+00,2.739396572588463030e+00,2.739399681974976186e+00,1.135061281351334221e-06
-3.498498498498498588e+00,2.739708318773455442e+00,2.739711427310534742e+00,1.134622080381251600e-06
