rho,npts,time_mj_mean,time_mj_std,time_vbb_mean,time_vbb_std
0.1,10,0.036391592025756835,0.006720536790094992,0.03197181224822998,0.06314852879441242
0.1,30,0.08870081901550293,0.011249766869620918,0.0877812147140503,0.16228863074502853
0.1,100,0.27531182765960693,0.0011246541364233436,0.11860737800598145,0.013769760008500494
0.1,300,0.8270184993743896,0.0018168796595359254,0.3482773542404175,0.013723786283755481
0.01,10,0.03697104454040528,0.010165213907130677,0.014789366722106935,0.00023671124085297072
0.01,30,0.08563618659973145,0.00038144108247502876,0.0459059476852417,0.0015871930595314665
0.01,100,0.2771707057952881,0.001367732352342489,0.1460873603820801,0.0028249024712003598
0.01,300,0.8300734758377075,0.00083044003235852,0.4335458278656006,0.010304454464649247
0.001,10,0.03792929649353027,0.010389777679986481,0.01701645851135254,0.0003232536703683302
0.001,30,0.08596155643463135,0.0005297107827546194,0.053410673141479494,0.0006546366924593052
0.001,100,0.27816927433013916,0.0005800480632677144,0.17185299396514894,0.003584672967553232
0.001,300,0.8331497192382813,0.002280897383809503,0.5354876279830932,0.01970049648106222
