rho,npts,time_mj_mean,time_mj_std,time_vbb_mean,time_vbb_std
0.1,10,0.03387072086334229,0.008811791661901425,0.03196773529052734,0.06198728533269548
0.1,30,0.08526601791381837,0.0014021728546074917,0.09152178764343262,0.1532250714347247
0.1,100,0.2731076240539551,0.000990375649314168,0.11316678524017335,0.012306531386848143
0.1,300,0.8201344013214111,0.0016147416524712728,0.33309421539306644,0.010663720851851126
0.01,10,0.03846101760864258,0.010931661355338287,0.014299869537353516,0.00036114113009317337
0.01,30,0.08524367809295655,0.00018936648208055367,0.04406929016113281,0.0006605805104273984
0.01,100,0.2749800205230713,0.0009412180900295002,0.14011363983154299,0.001701073254366147
0.01,300,0.8271321535110474,0.001907823009061525,0.4241792678833008,0.005417137352217995
0.001,10,0.03570303916931152,0.006348699546613728,0.01665520668029785,0.0002468469956715058
0.001,30,0.08544259071350098,0.0006417414073698408,0.05173802375793457,0.00026646102418284763
0.001,100,0.2769638538360596,0.0008432174880315148,0.1680229187011719,0.0008117581009871788
0.001,300,0.8290062904357911,0.001216886704990758,0.4958143472671509,0.003990945630255957
