rho,npts,time_vbb_mean,time_vbb_std
0.1,10,0.06823189258575439,0.0011143357923934373
0.1,30,0.20412700176239015,0.0014469549083738014
0.1,100,0.754904055595398,0.003926629157490664
0.1,300,2.279927682876587,0.016427439849416088
0.01,10,0.18173649311065676,0.0005896274099710449
0.01,30,0.479463529586792,0.0016778224343547523
0.01,100,1.7436093330383302,0.003926001747991636
0.01,300,5.231121611595154,0.019447559424386075
0.001,10,0.282477068901062,0.0009147352779041999
0.001,30,0.8430010080337524,0.004066000483333179
0.001,100,2.7240124702453614,0.008485696963907687
0.001,300,8.552956032752991,0.02466594408695297
