rho,npts,time_mj_mean,time_mj_std,time_vbb_mean,time_vbb_std
0.1,10,0.045248341560363774,0.009389825279875275,0.09007551670074464,0.06180047869939392
0.1,30,0.12242040634155274,0.0012402748986398216,0.28969812393188477,0.17540480893368404
0.1,100,0.3978363752365113,0.001096613785251023,0.7736984491348267,0.012092762828546705
0.1,300,1.1994692087173462,0.003717740662751643,2.3326884984970095,0.05263181191863628
0.01,10,0.04538979530334473,0.009836742670840358,0.15595593452453616,0.0017564686537479511
0.01,30,0.12276239395141603,0.0005491663269158973,0.5713583946228028,0.005662986281215028
0.01,100,0.4011175870895386,0.001012777644571443,1.8265242338180543,0.010023494924788438
0.01,300,1.2074344873428347,0.0037078237378913546,5.515115761756897,0.02782979449652978
0.001,10,0.04921712875366211,0.012875077053112232,0.24655601978302003,0.002350203302695894
0.001,30,0.12288110256195069,0.0006409526353506094,0.8772005081176758,0.006891370987586445
0.001,100,0.40134046077728275,0.0010860480917640213,2.992535924911499,0.012497149793413775
0.001,300,1.205375933647156,0.003977431282988347,8.926611399650573,0.021336807991158325
