time,magnification
-5.000000000000000000e+00,2.419494263682961499e+00
-4.969939879759518675e+00,2.436278411981812386e+00
-4.939879759519038238e+00,2.453308573447430696e+00
-4.909819639278556913e+00,2.470582471716928019e+00
-4.879759519038075588e+00,2.488096646219865260e+00
-4.849699398797595151e+00,2.505846272417682652e+00
-4.819639278557114714e+00,2.523825225626479707e+00
-4.789579158316633389e+00,2.542025865719764077e+00
-4.759519038076152064e+00,2.560438504933634452e+00
-4.729458917835670739e+00,2.579051689021467642e+00
-4.699398797595190302e+00,2.597851708362895362e+00
-4.669338677354708977e+00,2.616822210623840128e+00
-4.639278557114228541e+00,2.635944406440517973e+00
-4.609218436873748104e+00,2.655196344927808205e+00
-4.579158316633266779e+00,2.674552853274473563e+00
-4.549098196392785454e+00,2.693985322691477169e+00
-4.519038076152304129e+00,2.713461313519339058e+00
-4.488977955911823692e+00,2.732944247050282716e+00
-4.458917835671342367e+00,2.752393558338445345e+00
-4.428857715430861042e+00,2.771763805609421816e+00
-4.398797595190380605e+00,2.791005262236905260e+00
-4.368737474949900168e+00,2.810063323306218663e+00
-4.338677354709418843e+00,2.828878436557990206e+00
-4.308617234468937518e+00,2.847386702502966660e+00
-4.278557114228457081e+00,2.865519191219528583e+00
-4.248496993987976644e+00,2.883203175199981594e+00
-4.218436873747494431e+00,2.900361800117516431e+00
-4.188376753507013994e+00,2.916915186609447375e+00
-4.158316633266533557e+00,2.932780976557157526e+00
-4.128256513026052232e+00,2.947875496636562342e+00
-4.098196392785570907e+00,2.962114776855839793e+00
-4.068136272545089582e+00,2.975415965640226368e+00
-4.038076152304610034e+00,2.987699233326776671e+00
-4.008016032064128709e+00,2.998889007482078206e+00
-3.977955911823647384e+00,3.008916431421094995e+00
-3.947895791583166503e+00,3.017721046355382519e+00
-3.917835671342685622e+00,3.025253108003818969e+00
-3.887775551102204297e+00,3.031475461725260168e+00
-3.857715430861723416e+00,3.036365835776236199e+00
-3.827655310621242979e+00,3.039918399410123317e+00
-3.797595190380762098e+00,3.042145218239853399e+00
-3.767535070140280773e+00,3.043077567991776089e+00
-3.737474949899799892e+00,3.042766471442639897e+00
