time,magnification
-5.000000000000000000e+00,2.503923793390401720e+00
-4.969939879759518675e+00,2.516281503142896447e+00
-4.939879759519038238e+00,2.528404140037959991e+00
-4.909819639278556913e+00,2.540258579532581606e+00
-4.879759519038075588e+00,2.551810504141034830e+00
-4.849699398797595151e+00,2.563024651235181750e+00
-4.819639278557114714e+00,2.573865118064387225e+00
-4.789579158316633389e+00,2.584295726639397550e+00
-4.759519038076152064e+00,2.594280449478289174e+00
-4.729458917835670739e+00,2.603783895117044889e+00
-4.699398797595190302e+00,2.612771849750359365e+00
-4.669338677354708977e+00,2.621211868443964477e+00
-4.639278557114228541e+00,2.629073906136630168e+00
-4.609218436873748104e+00,2.636330975278829314e+00
-4.579158316633266779e+00,2.642959813626675647e+00
-4.549098196392785454e+00,2.648941542666973792e+00
-4.519038076152304129e+00,2.654262294664259336e+00
-4.488977955911823692e+00,2.658913784675180914e+00
-4.458917835671342367e+00,2.662893803342281096e+00
-4.428857715430861042e+00,2.666206607072541424e+00
-4.398797595190380605e+00,2.668863184469519201e+00
-4.368737474949900168e+00,2.670881381644938379e+00
-4.338677354709418843e+00,2.672285874182369181e+00
-4.308617234468937518e+00,2.673107979812265000e+00
-4.278557114228457081e+00,2.673385312908135525e+00
-4.248496993987976644e+00,2.673161289244093020e+00
-4.218436873747494431e+00,2.672484496524432984e+00
-4.188376753507013994e+00,2.671407952464879720e+00
-4.158316633266533557e+00,2.669988277188679149e+00
-4.128256513026052232e+00,2.668284810029078358e+00
-4.098196392785570907e+00,2.666358702290625438e+00
-4.068136272545089582e+00,2.664272017076738663e+00
-4.038076152304610034e+00,2.662086865077646358e+00
-4.008016032064128709e+00,2.659864601516678029e+00
-3.977955911823647384e+00,2.657665104666391720e+00
-3.947895791583166503e+00,2.655546150917401427e+00
-3.917835671342685622e+00,2.653562895760848583e+00
-3.887775551102204297e+00,2.651767464636976879e+00
-3.857715430861723416e+00,2.650208652734680648e+00
-3.827655310621242979e+00,2.648931728732170754e+00
-3.797595190380762098e+00,2.647978334275078005e+00
-3.767535070140280773e+00,2.647386468733628373e+00
-3.737474949899799892e+00,2.647190547421624629e+00
-3.707414829659319011e+00,2.647421520900239855e+00
